die_id,source,row,col,x_um,y_um,cell_name,site,test_enabled,bin,notes
D00092,gds_references,,,12334.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00093,gds_references,,,15858.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00094,gds_references,,,19382.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00095,gds_references,,,22906.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00096,gds_references,,,26430.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00097,gds_references,,,-29954.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00098,gds_references,,,-26430.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00099,gds_references,,,-22906.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00100,gds_references,,,-19382.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00101,gds_references,,,-15858.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00102,gds_references,,,-12334.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00103,gds_references,,,-8810.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00104,gds_references,,,-5286.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00105,gds_references,,,-1762.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00106,gds_references,,,1762.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00107,gds_references,,,5286.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00108,gds_references,,,8810.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00109,gds_references,,,12334.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00110,gds_references,,,15858.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00111,gds_references,,,19382.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00112,gds_references,,,22906.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00113,gds_references,,,26430.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00114,gds_references,,,29954.0,-59220.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00115,gds_references,,,-33478.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00116,gds_references,,,-29954.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00117,gds_references,,,-26430.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00118,gds_references,,,-22906.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00119,gds_references,,,-19382.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00120,gds_references,,,-15858.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00121,gds_references,,,-12334.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00122,gds_references,,,-8810.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00123,gds_references,,,-5286.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00124,gds_references,,,-1762.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00125,gds_references,,,1762.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00126,gds_references,,,5286.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00127,gds_references,,,8810.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00128,gds_references,,,12334.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00129,gds_references,,,15858.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
