parent_cell,reference_index,referenced_cell,origin_x_um,origin_y_um,rotation,magnification,x_reflection,columns,rows,spacing_x_um,spacing_y_um,bbox_min_x_um,bbox_min_y_um,bbox_max_x_um,bbox_max_y_um,bbox_width_um,bbox_height_um,bbox_center_x_um,bbox_center_y_um
HPLMP01S1A,78,single_die,15858.0,-62510.0,0.0,1.0,False,,,,,14096.0,-63332.5,17620.0,-61687.5,3524.0,1645.0,15858.0,-62510.0
HPLMP01S1A,79,single_die,19382.0,-62510.0,0.0,1.0,False,,,,,17620.0,-63332.5,21144.0,-61687.5,3524.0,1645.0,19382.0,-62510.0
HPLMP01S1A,80,single_die,22906.0,-62510.0,0.0,1.0,False,,,,,21144.0,-63332.5,24668.0,-61687.5,3524.0,1645.0,22906.0,-62510.0
HPLMP01S1A,81,single_die,-26430.0,-60865.0,0.0,1.0,False,,,,,-28192.0,-61687.5,-24668.0,-60042.5,3524.0,1645.0,-26430.0,-60865.0
HPLMP01S1A,82,single_die,-22906.0,-60865.0,0.0,1.0,False,,,,,-24668.0,-61687.5,-21144.0,-60042.5,3524.0,1645.0,-22906.0,-60865.0
HPLMP01S1A,83,single_die,-19382.0,-60865.0,0.0,1.0,False,,,,,-21144.0,-61687.5,-17620.0,-60042.5,3524.0,1645.0,-19382.0,-60865.0
HPLMP01S1A,84,single_die,-15858.0,-60865.0,0.0,1.0,False,,,,,-17620.0,-61687.5,-14096.0,-60042.5,3524.0,1645.0,-15858.0,-60865.0
HPLMP01S1A,85,single_die,-12334.0,-60865.0,0.0,1.0,False,,,,,-14096.0,-61687.5,-10572.0,-60042.5,3524.0,1645.0,-12334.0,-60865.0
HPLMP01S1A,86,single_die,-8810.0,-60865.0,0.0,1.0,False,,,,,-10572.0,-61687.5,-7048.0,-60042.5,3524.0,1645.0,-8810.0,-60865.0
HPLMP01S1A,87,single_die,-5286.0,-60865.0,0.0,1.0,False,,,,,-7048.0,-61687.5,-3524.0,-60042.5,3524.0,1645.0,-5286.0,-60865.0
HPLMP01S1A,88,single_die,-1762.0,-60865.0,0.0,1.0,False,,,,,-3524.0,-61687.5,0.0,-60042.5,3524.0,1645.0,-1762.0,-60865.0
HPLMP01S1A,89,single_die,1762.0,-60865.0,0.0,1.0,False,,,,,0.0,-61687.5,3524.0,-60042.5,3524.0,1645.0,1762.0,-60865.0
HPLMP01S1A,90,single_die,5286.0,-60865.0,0.0,1.0,False,,,,,3524.0,-61687.5,7048.0,-60042.5,3524.0,1645.0,5286.0,-60865.0
HPLMP01S1A,91,single_die,8810.0,-60865.0,0.0,1.0,False,,,,,7048.0,-61687.5,10572.0,-60042.5,3524.0,1645.0,8810.0,-60865.0
HPLMP01S1A,92,single_die,12334.0,-60865.0,0.0,1.0,False,,,,,10572.0,-61687.5,14096.0,-60042.5,3524.0,1645.0,12334.0,-60865.0
HPLMP01S1A,93,single_die,15858.0,-60865.0,0.0,1.0,False,,,,,14096.0,-61687.5,17620.0,-60042.5,3524.0,1645.0,15858.0,-60865.0
HPLMP01S1A,94,single_die,19382.0,-60865.0,0.0,1.0,False,,,,,17620.0,-61687.5,21144.0,-60042.5,3524.0,1645.0,19382.0,-60865.0
HPLMP01S1A,95,single_die,22906.0,-60865.0,0.0,1.0,False,,,,,21144.0,-61687.5,24668.0,-60042.5,3524.0,1645.0,22906.0,-60865.0
HPLMP01S1A,96,single_die,26430.0,-60865.0,0.0,1.0,False,,,,,24668.0,-61687.5,28192.0,-60042.5,3524.0,1645.0,26430.0,-60865.0
HPLMP01S1A,97,single_die,-29954.0,-59220.0,0.0,1.0,False,,,,,-31716.0,-60042.5,-28192.0,-58397.5,3524.0,1645.0,-29954.0,-59220.0
HPLMP01S1A,98,single_die,-26430.0,-59220.0,0.0,1.0,False,,,,,-28192.0,-60042.5,-24668.0,-58397.5,3524.0,1645.0,-26430.0,-59220.0
HPLMP01S1A,99,single_die,-22906.0,-59220.0,0.0,1.0,False,,,,,-24668.0,-60042.5,-21144.0,-58397.5,3524.0,1645.0,-22906.0,-59220.0
HPLMP01S1A,100,single_die,-19382.0,-59220.0,0.0,1.0,False,,,,,-21144.0,-60042.5,-17620.0,-58397.5,3524.0,1645.0,-19382.0,-59220.0
HPLMP01S1A,101,single_die,-15858.0,-59220.0,0.0,1.0,False,,,,,-17620.0,-60042.5,-14096.0,-58397.5,3524.0,1645.0,-15858.0,-59220.0
HPLMP01S1A,102,single_die,-12334.0,-59220.0,0.0,1.0,False,,,,,-14096.0,-60042.5,-10572.0,-58397.5,3524.0,1645.0,-12334.0,-59220.0
HPLMP01S1A,103,single_die,-8810.0,-59220.0,0.0,1.0,False,,,,,-10572.0,-60042.5,-7048.0,-58397.5,3524.0,1645.0,-8810.0,-59220.0
HPLMP01S1A,104,single_die,-5286.0,-59220.0,0.0,1.0,False,,,,,-7048.0,-60042.5,-3524.0,-58397.5,3524.0,1645.0,-5286.0,-59220.0
HPLMP01S1A,105,single_die,-1762.0,-59220.0,0.0,1.0,False,,,,,-3524.0,-60042.5,0.0,-58397.5,3524.0,1645.0,-1762.0,-59220.0
HPLMP01S1A,106,single_die,1762.0,-59220.0,0.0,1.0,False,,,,,0.0,-60042.5,3524.0,-58397.5,3524.0,1645.0,1762.0,-59220.0
HPLMP01S1A,107,single_die,5286.0,-59220.0,0.0,1.0,False,,,,,3524.0,-60042.5,7048.0,-58397.5,3524.0,1645.0,5286.0,-59220.0
HPLMP01S1A,108,single_die,8810.0,-59220.0,0.0,1.0,False,,,,,7048.0,-60042.5,10572.0,-58397.5,3524.0,1645.0,8810.0,-59220.0
HPLMP01S1A,109,single_die,12334.0,-59220.0,0.0,1.0,False,,,,,10572.0,-60042.5,14096.0,-58397.5,3524.0,1645.0,12334.0,-59220.0
HPLMP01S1A,110,single_die,15858.0,-59220.0,0.0,1.0,False,,,,,14096.0,-60042.5,17620.0,-58397.5,3524.0,1645.0,15858.0,-59220.0
HPLMP01S1A,111,single_die,19382.0,-59220.0,0.0,1.0,False,,,,,17620.0,-60042.5,21144.0,-58397.5,3524.0,1645.0,19382.0,-59220.0
HPLMP01S1A,112,single_die,22906.0,-59220.0,0.0,1.0,False,,,,,21144.0,-60042.5,24668.0,-58397.5,3524.0,1645.0,22906.0,-59220.0
HPLMP01S1A,113,single_die,26430.0,-59220.0,0.0,1.0,False,,,,,24668.0,-60042.5,28192.0,-58397.5,3524.0,1645.0,26430.0,-59220.0
HPLMP01S1A,114,single_die,29954.0,-59220.0,0.0,1.0,False,,,,,28192.0,-60042.5,31716.0,-58397.5,3524.0,1645.0,29954.0,-59220.0
HPLMP01S1A,115,single_die,-33478.0,-57575.0,0.0,1.0,False,,,,,-35240.0,-58397.5,-31716.0,-56752.5,3524.0,1645.0,-33478.0,-57575.0
HPLMP01S1A,116,single_die,-29954.0,-57575.0,0.0,1.0,False,,,,,-31716.0,-58397.5,-28192.0,-56752.5,3524.0,1645.0,-29954.0,-57575.0
HPLMP01S1A,117,single_die,-26430.0,-57575.0,0.0,1.0,False,,,,,-28192.0,-58397.5,-24668.0,-56752.5,3524.0,1645.0,-26430.0,-57575.0
HPLMP01S1A,118,single_die,-22906.0,-57575.0,0.0,1.0,False,,,,,-24668.0,-58397.5,-21144.0,-56752.5,3524.0,1645.0,-22906.0,-57575.0
HPLMP01S1A,119,single_die,-19382.0,-57575.0,0.0,1.0,False,,,,,-21144.0,-58397.5,-17620.0,-56752.5,3524.0,1645.0,-19382.0,-57575.0
HPLMP01S1A,120,single_die,-15858.0,-57575.0,0.0,1.0,False,,,,,-17620.0,-58397.5,-14096.0,-56752.5,3524.0,1645.0,-15858.0,-57575.0
HPLMP01S1A,121,single_die,-12334.0,-57575.0,0.0,1.0,False,,,,,-14096.0,-58397.5,-10572.0,-56752.5,3524.0,1645.0,-12334.0,-57575.0
HPLMP01S1A,122,single_die,-8810.0,-57575.0,0.0,1.0,False,,,,,-10572.0,-58397.5,-7048.0,-56752.5,3524.0,1645.0,-8810.0,-57575.0
HPLMP01S1A,123,single_die,-5286.0,-57575.0,0.0,1.0,False,,,,,-7048.0,-58397.5,-3524.0,-56752.5,3524.0,1645.0,-5286.0,-57575.0
HPLMP01S1A,124,single_die,-1762.0,-57575.0,0.0,1.0,False,,,,,-3524.0,-58397.5,0.0,-56752.5,3524.0,1645.0,-1762.0,-57575.0
HPLMP01S1A,125,single_die,1762.0,-57575.0,0.0,1.0,False,,,,,0.0,-58397.5,3524.0,-56752.5,3524.0,1645.0,1762.0,-57575.0
HPLMP01S1A,126,single_die,5286.0,-57575.0,0.0,1.0,False,,,,,3524.0,-58397.5,7048.0,-56752.5,3524.0,1645.0,5286.0,-57575.0
HPLMP01S1A,127,single_die,8810.0,-57575.0,0.0,1.0,False,,,,,7048.0,-58397.5,10572.0,-56752.5,3524.0,1645.0,8810.0,-57575.0
HPLMP01S1A,128,single_die,12334.0,-57575.0,0.0,1.0,False,,,,,10572.0,-58397.5,14096.0,-56752.5,3524.0,1645.0,12334.0,-57575.0
HPLMP01S1A,129,single_die,15858.0,-57575.0,0.0,1.0,False,,,,,14096.0,-58397.5,17620.0,-56752.5,3524.0,1645.0,15858.0,-57575.0
HPLMP01S1A,130,single_die,19382.0,-57575.0,0.0,1.0,False,,,,,17620.0,-58397.5,21144.0,-56752.5,3524.0,1645.0,19382.0,-57575.0
HPLMP01S1A,131,single_die,22906.0,-57575.0,0.0,1.0,False,,,,,21144.0,-58397.5,24668.0,-56752.5,3524.0,1645.0,22906.0,-57575.0
HPLMP01S1A,132,single_die,26430.0,-57575.0,0.0,1.0,False,,,,,24668.0,-58397.5,28192.0,-56752.5,3524.0,1645.0,26430.0,-57575.0
HPLMP01S1A,133,single_die,29954.0,-57575.0,0.0,1.0,False,,,,,28192.0,-58397.5,31716.0,-56752.5,3524.0,1645.0,29954.0,-57575.0
HPLMP01S1A,134,single_die,33478.0,-57575.0,0.0,1.0,False,,,,,31716.0,-58397.5,35240.0,-56752.5,3524.0,1645.0,33478.0,-57575.0
HPLMP01S1A,135,single_die,-33478.0,-55930.0,0.0,1.0,False,,,,,-35240.0,-56752.5,-31716.0,-55107.5,3524.0,1645.0,-33478.0,-55930.0
HPLMP01S1A,136,single_die,-29954.0,-55930.0,0.0,1.0,False,,,,,-31716.0,-56752.5,-28192.0,-55107.5,3524.0,1645.0,-29954.0,-55930.0
HPLMP01S1A,137,single_die,-26430.0,-55930.0,0.0,1.0,False,,,,,-28192.0,-56752.5,-24668.0,-55107.5,3524.0,1645.0,-26430.0,-55930.0
HPLMP01S1A,138,single_die,-22906.0,-55930.0,0.0,1.0,False,,,,,-24668.0,-56752.5,-21144.0,-55107.5,3524.0,1645.0,-22906.0,-55930.0
HPLMP01S1A,139,single_die,-19382.0,-55930.0,0.0,1.0,False,,,,,-21144.0,-56752.5,-17620.0,-55107.5,3524.0,1645.0,-19382.0,-55930.0
