row,col,label
-8,10,66-00
-8,11,66-01
-8,12,66-02
-8,13,66-03
-8,14,66-04
-8,15,67-00
-8,16,67-01
-8,17,67-02
-8,18,NA
-8,19,NA
-7,-20,NA
-7,-19,50-71
-7,-18,50-72
-7,-17,50-73
-7,-16,50-74
-7,-15,51-70
-7,-14,51-71
-7,-13,51-72
-7,-12,51-73
-7,-11,51-74
-7,-10,52-70
-7,-9,52-71
-7,-8,52-72
-7,-7,52-73
-7,-6,52-74
-7,-5,53-70
-7,-4,53-71
-7,-3,53-72
-7,-2,53-73
-7,-1,53-74
-7,0,54-70
-7,1,54-71
-7,2,54-72
-7,3,54-73
-7,4,54-74
-7,5,55-70
-7,6,55-71
-7,7,55-72
-7,8,55-73
-7,9,55-74
-7,10,56-70
-7,11,56-71
-7,12,56-72
-7,13,56-73
-7,14,56-74
-7,15,57-70
-7,16,57-71
-7,17,57-72
-7,18,57-73
-7,19,NA
-6,-20,NA
-6,-19,50-61
-6,-18,50-62
-6,-17,50-63
-6,-16,50-64
-6,-15,51-60
-6,-14,51-61
-6,-13,51-62
-6,-12,51-63
-6,-11,51-64
-6,-10,52-60
-6,-9,52-61
-6,-8,52-62
-6,-7,52-63
-6,-6,52-64
-6,-5,53-60
-6,-4,53-61
-6,-3,53-62
-6,-2,53-63
-6,-1,53-64
-6,0,54-60
-6,1,54-61
-6,2,54-62
-6,3,54-63
-6,4,54-64
-6,5,55-60
-6,6,55-61
-6,7,55-62
-6,8,55-63
-6,9,55-64
-6,10,56-60
-6,11,56-61
-6,12,56-62
-6,13,56-63
-6,14,56-64
-6,15,57-60
-6,16,57-61
-6,17,57-62
-6,18,57-63
-6,19,NA
-5,-20,NA
-5,-19,50-51
-5,-18,50-52
-5,-17,50-53
-5,-16,50-54
-5,-15,51-50
-5,-14,51-51
-5,-13,51-52
-5,-12,51-53
-5,-11,51-54
-5,-10,52-50
-5,-9,52-51
-5,-8,52-52
-5,-7,52-53
-5,-6,52-54
-5,-5,53-50
-5,-4,53-51
-5,-3,53-52
-5,-2,53-53
-5,-1,53-54
-5,0,54-50
-5,1,54-51
-5,2,54-52
-5,3,54-53
-5,4,54-54
-5,5,55-50
-5,6,55-51
-5,7,55-52
-5,8,55-53
-5,9,55-54
-5,10,56-50
-5,11,56-51
-5,12,56-52
-5,13,56-53
-5,14,56-54
-5,15,57-50
-5,16,57-51
-5,17,57-52
-5,18,57-53
-5,19,NA
-4,-20,NA
-4,-19,50-41
-4,-18,50-42
-4,-17,50-43
-4,-16,50-44
-4,-15,51-40
-4,-14,51-41
-4,-13,51-42
-4,-12,51-43
-4,-11,51-44
-4,-10,52-40
-4,-9,52-41
-4,-8,52-42
-4,-7,52-43
-4,-6,52-44
-4,-5,53-40
-4,-4,53-41
-4,-3,53-42
-4,-2,53-43
-4,-1,53-44
-4,0,54-40
-4,1,54-41
-4,2,54-42
-4,3,54-43
-4,4,54-44
-4,5,55-40
-4,6,55-41
-4,7,55-42
-4,8,55-43
-4,9,55-44
-4,10,56-40
-4,11,56-41
-4,12,56-42
-4,13,56-43
-4,14,56-44
-4,15,57-40
-4,16,57-41
-4,17,57-42
-4,18,57-43
-4,19,NA
-3,-20,NA
-3,-19,50-31
-3,-18,50-32
-3,-17,50-33
-3,-16,50-34
-3,-15,51-30
-3,-14,51-31
-3,-13,51-32
-3,-12,51-33
-3,-11,51-34
-3,-10,52-30
-3,-9,52-31
-3,-8,52-32
-3,-7,52-33
-3,-6,52-34
-3,-5,53-30
-3,-4,53-31
-3,-3,53-32
-3,-2,53-33
-3,-1,53-34
-3,0,54-30
-3,1,54-31
-3,2,54-32
-3,3,54-33
-3,4,54-34
-3,5,55-30
-3,6,55-31
-3,7,55-32
-3,8,55-33
-3,9,55-34
-3,10,56-30
-3,11,56-31
-3,12,56-32
-3,13,56-33
-3,14,56-34
-3,15,57-30
-3,16,57-31
-3,17,57-32
-3,18,57-33
-3,19,NA
-2,-20,NA
-2,-19,50-21
-2,-18,50-22
-2,-17,50-23
-2,-16,50-24
-2,-15,51-20
-2,-14,51-21
-2,-13,PCM
-2,-12,51-23
-2,-11,51-24
-2,-10,52-20
-2,-9,52-21
-2,-8,52-22
-2,-7,52-23
-2,-6,52-24
-2,-5,53-20
-2,-4,53-21
-2,-3,PCM
-2,-2,53-23
-2,-1,53-24
-2,0,54-20
-2,1,54-21
-2,2,54-22
-2,3,54-23
-2,4,54-24
-2,5,55-20
-2,6,55-21
-2,7,PCM
-2,8,55-23
-2,9,55-24
-2,10,56-20
-2,11,56-21
-2,12,56-22
-2,13,56-23
-2,14,56-24
-2,15,57-20
-2,16,57-21
-2,17,PCM
-2,18,57-23
-2,19,NA
-1,-20,NA
-1,-19,50-11
-1,-18,50-12
-1,-17,50-13
-1,-16,50-14
-1,-15,51-10
-1,-14,51-11
-1,-13,51-12
-1,-12,51-13
-1,-11,51-14
-1,-10,52-10
-1,-9,52-11
-1,-8,52-12
-1,-7,52-13
-1,-6,52-14
-1,-5,53-10
-1,-4,53-11
-1,-3,53-12
-1,-2,53-13
-1,-1,53-14
-1,0,54-10
-1,1,54-11
-1,2,54-12
-1,3,54-13
-1,4,54-14
-1,5,55-10
-1,6,55-11
-1,7,55-12
-1,8,55-13
-1,9,55-14
-1,10,56-10
-1,11,56-11
-1,12,56-12
-1,13,56-13
-1,14,56-14
-1,15,57-10
-1,16,57-11
-1,17,57-12
-1,18,57-13
-1,19,NA
0,-20,NA
0,-19,50-01
0,-18,50-02
0,-17,50-03
0,-16,50-04
0,-15,51-00
0,-14,TARGET
0,-13,TARGET
0,-12,TARGET
0,-11,51-04
0,-10,52-00
0,-9,52-01
0,-8,52-02
0,-7,52-03
0,-6,52-04
0,-5,53-00
0,-4,53-01
0,-3,53-02
0,-2,53-03
0,-1,53-04
0,0,54-00
0,1,54-01
0,2,54-02
0,3,54-03
0,4,54-04
0,5,55-00
0,6,55-01
0,7,55-02
0,8,55-03
0,9,55-04
0,10,56-00
0,11,TARGET
