cell,polygon_index,layer,datatype,point_count,bbox_min_x_um,bbox_min_y_um,bbox_max_x_um,bbox_max_y_um,bbox_width_um,bbox_height_um,bbox_center_x_um,bbox_center_y_um
test_die,148,9,0,119,226.607,-822.5,285.34000000000003,-142.072,58.73300000000003,680.428,255.9735,-482.286
test_die,149,9,0,116,185.95600000000002,-94.759,203.8,-72.5,17.843999999999994,22.259,194.87800000000001,-83.62950000000001
test_die,150,9,0,116,174.111,-94.759,185.95600000000002,-73.7,11.845000000000027,21.058999999999997,180.0335,-84.2295
test_die,151,9,0,118,158.465,-141.945,205.907,-94.759,47.44200000000001,47.18599999999999,182.186,-118.352
test_die,152,9,0,118,158.465,-822.5,226.607,-141.945,68.142,680.5550000000001,192.536,-482.22249999999997
test_die,153,9,0,105,138.872,479.046,158.465,822.5,19.59299999999999,343.454,148.6685,650.773
test_die,154,9,0,105,97.412,476.419,138.872,822.5,41.46000000000001,346.081,118.14200000000001,649.4594999999999
test_die,155,9,0,105,125.453,461.481,138.04,476.419,12.586999999999989,14.937999999999988,131.7465,468.95
test_die,156,9,0,104,112.56,461.48,125.453,476.419,12.893,14.938999999999965,119.0065,468.9495
test_die,157,9,0,107,38.872,436.067,97.412,822.5,58.540000000000006,386.433,68.142,629.2835
test_die,158,9,0,55,53.486000000000004,428.90500000000003,87.8,436.067,34.31399999999999,7.161999999999978,70.643,432.486
test_die,159,9,0,51,38.872,429.046,47.114000000000004,436.067,8.242000000000004,7.021000000000015,42.993,432.5565
test_die,160,9,0,105,73.46600000000001,411.48,87.8,428.90500000000003,14.333999999999989,17.42500000000001,80.63300000000001,420.1925
test_die,161,9,0,105,61.789,411.615,73.46600000000001,428.90500000000003,11.677000000000007,17.29000000000002,67.6275,420.26
test_die,162,9,0,105,-0.16,426.868,38.872,822.5,39.032,395.632,19.356,624.684
test_die,163,9,0,105,-12.88,469.914,-0.16,822.5,12.72,352.586,-6.5200000000000005,646.207
test_die,164,9,0,105,26.678,411.556,38.138,426.868,11.459999999999997,15.312000000000012,32.408,419.212
test_die,165,9,0,105,12.8,411.48,26.678,426.868,13.878,15.387999999999977,19.739,419.174
test_die,166,9,0,106,-46.514,468.915,-12.88,822.5,33.634,353.585,-29.697000000000003,645.7075
test_die,167,9,0,105,-69.635,468.915,-46.514,822.5,23.121000000000002,353.585,-58.0745,645.7075
test_die,168,9,0,106,-99.7,421.092,-69.635,822.5,30.064999999999998,401.408,-84.6675,621.796
test_die,169,9,0,106,-129.27,421.092,-99.7,822.5,29.570000000000007,401.408,-114.48500000000001,621.796
test_die,170,9,0,106,-152.28900000000002,468.77500000000003,-129.27,822.5,23.019000000000005,353.72499999999997,-140.7795,645.6375
test_die,171,9,0,105,-186.362,468.77500000000003,-152.28900000000002,822.5,34.07299999999998,353.72499999999997,-169.3255,645.6375
test_die,172,9,0,105,-198.17000000000002,469.481,-186.362,822.5,11.808000000000021,353.019,-192.26600000000002,645.9905
test_die,173,9,0,105,-238.67600000000002,428.90500000000003,-198.17000000000002,822.5,40.506,393.59499999999997,-218.423,625.7025
test_die,174,9,0,105,-226.534,411.48,-212.20000000000002,428.90500000000003,14.333999999999975,17.42500000000001,-219.36700000000002,420.1925
test_die,175,9,0,105,-238.211,411.615,-226.534,428.90500000000003,11.677000000000021,17.29000000000002,-232.3725,420.26
test_die,176,9,0,107,-269.133,431.426,-238.67600000000002,822.5,30.456999999999965,391.074,-253.90449999999998,626.963
test_die,177,9,0,11,-239.661,429.872,-238.67600000000002,431.426,0.9849999999999852,1.5539999999999736,-239.1685,430.649
test_die,178,9,0,96,-269.133,412.788,-259.74,431.426,9.392999999999972,18.637999999999977,-264.4365,422.10699999999997
test_die,179,9,0,105,-307.335,411.48,-269.133,822.5,38.202,411.02,-288.234,616.99
