recipe_name,die_size_x,die_size_y,x_move_first,y_move_first,align_die,shot_rows,shot_cols,row,col,x_um,y_um,included,die1,die2,die3,die4
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,19,55700.0,11095.0,1,A4-41,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,18,52915.0,11095.0,1,A4-40,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,17,50130.0,11095.0,1,A3-45,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,16,47345.0,11095.0,1,A3-44,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,15,44560.0,11095.0,1,A3-43,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,14,41775.0,11095.0,1,A3-42,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,13,38990.0,11095.0,1,A3-41,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,12,36205.0,11095.0,1,A3-40,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,11,33420.0,12680.0,1,A2-35,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,12,36205.0,12680.0,1,A3-30,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,13,38990.0,12680.0,1,A3-31,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,14,41775.0,12680.0,1,A3-32,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,15,44560.0,12680.0,1,A3-33,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,16,47345.0,12680.0,1,A3-34,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,17,50130.0,12680.0,1,A3-35,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,18,52915.0,12680.0,1,A4-30,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,19,55700.0,12680.0,1,A4-31,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,20,58485.0,12680.0,1,A4-32,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,21,61270.0,12680.0,1,A4-33,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,22,64055.0,12680.0,1,A4-34,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,23,66840.0,12680.0,1,A4-35,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,24,69625.0,12680.0,1,A5-30,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,25,72410.0,12680.0,1,A5-31,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,26,75195.0,12680.0,1,A5-32,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,27,77980.0,12680.0,1,A5-33,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,28,80765.0,12680.0,1,A5-34,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,29,83550.0,12680.0,1,A5-35,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,30,86335.0,12680.0,1,A6-30,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,31,89120.0,12680.0,1,A6-31,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,32,91905.0,12680.0,1,A6-32,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,33,94690.0,12680.0,1,A6-33,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,34,97475.0,12680.0,1,A6-34,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,35,100260.0,12680.0,1,A6-35,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,6,36,103045.0,12680.0,1,A7-30,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,36,103045.0,14265.0,1,A7-20,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,35,100260.0,14265.0,1,A6-25,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,34,97475.0,14265.0,1,A6-24,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,33,94690.0,14265.0,1,A6-23,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,32,91905.0,14265.0,1,A6-22,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,31,89120.0,14265.0,1,A6-21,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,30,86335.0,14265.0,1,A6-20,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,29,83550.0,14265.0,1,A5-25,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,28,80765.0,14265.0,1,A5-24,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,27,77980.0,14265.0,1,A5-23,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,26,75195.0,14265.0,1,A5-22,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,25,72410.0,14265.0,1,A5-21,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,24,69625.0,14265.0,1,A5-20,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,23,66840.0,14265.0,1,A4-25,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,22,64055.0,14265.0,1,A4-24,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,21,61270.0,14265.0,1,A4-23,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,20,58485.0,14265.0,1,A4-22,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,19,55700.0,14265.0,1,A4-21,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,18,52915.0,14265.0,1,A4-20,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,17,50130.0,14265.0,1,A3-25,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,16,47345.0,14265.0,1,A3-24,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,15,44560.0,14265.0,1,A3-23,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,14,41775.0,14265.0,1,A3-22,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,13,38990.0,14265.0,1,A3-21,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,12,36205.0,14265.0,1,A3-20,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,7,11,33420.0,14265.0,1,A2-25,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,9,27850.0,15850.0,1,A2-13,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,10,30635.0,15850.0,1,A2-14,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,11,33420.0,15850.0,1,A2-15,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,12,36205.0,15850.0,1,A3-10,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,13,38990.0,15850.0,1,A3-11,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,14,41775.0,15850.0,1,A3-12,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,15,44560.0,15850.0,1,A3-13,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,16,47345.0,15850.0,1,A3-14,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,17,50130.0,15850.0,1,A3-15,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,18,52915.0,15850.0,1,A4-10,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,19,55700.0,15850.0,1,A4-11,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,20,58485.0,15850.0,1,A4-12,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,21,61270.0,15850.0,1,A4-13,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,22,64055.0,15850.0,1,A4-14,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,23,66840.0,15850.0,1,A4-15,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,24,69625.0,15850.0,1,A5-10,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,25,72410.0,15850.0,1,A5-11,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,26,75195.0,15850.0,1,A5-12,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,27,77980.0,15850.0,1,A5-13,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,28,80765.0,15850.0,1,A5-14,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,29,83550.0,15850.0,1,A5-15,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,30,86335.0,15850.0,1,A6-10,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,31,89120.0,15850.0,1,A6-11,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,32,91905.0,15850.0,1,A6-12,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,33,94690.0,15850.0,1,A6-13,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,34,97475.0,15850.0,1,A6-14,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,35,100260.0,15850.0,1,A6-15,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,36,103045.0,15850.0,1,A7-10,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,37,105830.0,15850.0,1,A7-11,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,8,38,108615.0,15850.0,1,A7-12,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,38,108615.0,17435.0,1,A7-02,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,37,105830.0,17435.0,1,A7-01,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,36,103045.0,17435.0,1,A7-00,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,35,100260.0,17435.0,1,A6-05,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,34,97475.0,17435.0,1,A6-04,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,33,94690.0,17435.0,1,A6-03,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,32,91905.0,17435.0,1,A6-02,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,31,89120.0,17435.0,1,A6-01,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,30,86335.0,17435.0,1,A6-00,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,29,83550.0,17435.0,1,A5-05,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,28,80765.0,17435.0,1,A5-04,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,27,77980.0,17435.0,1,A5-03,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,26,75195.0,17435.0,1,A5-02,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,25,72410.0,17435.0,1,A5-01,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,24,69625.0,17435.0,1,A5-00,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,23,66840.0,17435.0,1,A4-05,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,22,64055.0,17435.0,1,A4-04,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,21,61270.0,17435.0,1,A4-03,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,20,58485.0,17435.0,1,A4-02,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,19,55700.0,17435.0,1,A4-01,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,18,52915.0,17435.0,1,A4-00,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,17,50130.0,17435.0,1,A3-05,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,16,47345.0,17435.0,1,A3-04,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,15,44560.0,17435.0,1,A3-03,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,14,41775.0,17435.0,1,A3-02,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,13,38990.0,17435.0,1,A3-01,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,12,36205.0,17435.0,1,A3-00,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,11,33420.0,17435.0,1,A2-05,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,10,30635.0,17435.0,1,A2-04,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,9,9,27850.0,17435.0,1,A2-03,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,8,25065.0,19020.0,1,92-72,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,9,27850.0,19020.0,1,92-73,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,10,30635.0,19020.0,1,92-74,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,11,33420.0,19020.0,1,92-75,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,12,36205.0,19020.0,1,93-70,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,13,38990.0,19020.0,1,93-71,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,14,41775.0,19020.0,1,93-72,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,15,44560.0,19020.0,1,93-73,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,16,47345.0,19020.0,1,93-74,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,17,50130.0,19020.0,1,93-75,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,18,52915.0,19020.0,1,94-70,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,19,55700.0,19020.0,1,94-71,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,20,58485.0,19020.0,1,94-72,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,21,61270.0,19020.0,1,94-73,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,22,64055.0,19020.0,1,94-74,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,23,66840.0,19020.0,1,94-75,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,24,69625.0,19020.0,1,95-70,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,25,72410.0,19020.0,1,95-71,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,26,75195.0,19020.0,1,95-72,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,27,77980.0,19020.0,1,95-73,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,28,80765.0,19020.0,1,95-74,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,29,83550.0,19020.0,1,95-75,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,10,30,86335.0,19020.0,1,96-70,,,
