row,col,x_die,y_die,raw_q
-39,7,7,-39,QY-039X0007
-39,6,6,-39,QY-039X0006
-39,5,5,-39,QY-039X0005
-39,4,4,-39,QY-039X0004
-39,3,3,-39,QY-039X0003
-39,2,2,-39,QY-039X0002
-39,1,1,-39,QY-039X0001
-39,0,0,-39,QY-039X0000
-39,-1,-1,-39,QY-039X-001
-39,-2,-2,-39,QY-039X-002
-39,-3,-3,-39,QY-039X-003
-39,-4,-4,-39,QY-039X-004
-39,-5,-5,-39,QY-039X-005
-39,-6,-6,-39,QY-039X-006
-39,-7,-7,-39,QY-039X-007
-39,-8,-8,-39,QY-039X-008
-39,-9,-9,-39,QY-039X-009
-39,-10,-10,-39,QY-039X-010
-39,-11,-11,-39,QY-039X-011
-39,-12,-12,-39,QY-039X-012
-39,-13,-13,-39,QY-039X-013
-39,-14,-14,-39,QY-039X-014
-39,-15,-15,-39,QY-039X-015
-39,-16,-16,-39,QY-039X-016
-39,-17,-17,-39,QY-039X-017
-39,-18,-18,-39,QY-039X-018
-39,-19,-19,-39,QY-039X-019
-39,-20,-20,-39,QY-039X-020
-39,-21,-21,-39,QY-039X-021
-39,-22,-22,-39,QY-039X-022
-39,-23,-23,-39,QY-039X-023
-39,-24,-24,-39,QY-039X-024
-39,-25,-25,-39,QY-039X-025
-39,-26,-26,-39,QY-039X-026
-39,-27,-27,-39,QY-039X-027
-39,-28,-28,-39,QY-039X-028
-39,-29,-29,-39,QY-039X-029
-39,-30,-30,-39,QY-039X-030
-39,-31,-31,-39,QY-039X-031
-39,-32,-32,-39,QY-039X-032
-39,-33,-33,-39,QY-039X-033
-38,-33,-33,-38,QY-038X-033
-38,-32,-32,-38,QY-038X-032
-38,-31,-31,-38,QY-038X-031
-38,-30,-30,-38,QY-038X-030
-38,-29,-29,-38,QY-038X-029
-38,-28,-28,-38,QY-038X-028
-38,-27,-27,-38,QY-038X-027
-38,-26,-26,-38,QY-038X-026
-38,-25,-25,-38,QY-038X-025
-38,-24,-24,-38,QY-038X-024
-38,-23,-23,-38,QY-038X-023
-38,-22,-22,-38,QY-038X-022
-38,-21,-21,-38,QY-038X-021
-38,-20,-20,-38,QY-038X-020
-38,-19,-19,-38,QY-038X-019
-38,-18,-18,-38,QY-038X-018
-38,-17,-17,-38,QY-038X-017
-38,-16,-16,-38,QY-038X-016
-38,-15,-15,-38,QY-038X-015
-38,-14,-14,-38,QY-038X-014
-38,-13,-13,-38,QY-038X-013
-38,-12,-12,-38,QY-038X-012
-38,-11,-11,-38,QY-038X-011
-38,-10,-10,-38,QY-038X-010
-38,-9,-9,-38,QY-038X-009
-38,-8,-8,-38,QY-038X-008
-38,-7,-7,-38,QY-038X-007
-38,-6,-6,-38,QY-038X-006
-38,-5,-5,-38,QY-038X-005
-38,-4,-4,-38,QY-038X-004
-38,-3,-3,-38,QY-038X-003
-38,-2,-2,-38,QY-038X-002
-38,-1,-1,-38,QY-038X-001
-38,0,0,-38,QY-038X0000
-38,1,1,-38,QY-038X0001
-38,2,2,-38,QY-038X0002
-38,3,3,-38,QY-038X0003
-38,4,4,-38,QY-038X0004
-38,5,5,-38,QY-038X0005
-38,6,6,-38,QY-038X0006
-38,7,7,-38,QY-038X0007
-38,8,8,-38,QY-038X0008
-38,9,9,-38,QY-038X0009
-38,10,10,-38,QY-038X0010
-38,11,11,-38,QY-038X0011
-38,12,12,-38,QY-038X0012
-38,13,13,-38,QY-038X0013
-38,14,14,-38,QY-038X0014
-38,15,15,-38,QY-038X0015
-38,16,16,-38,QY-038X0016
-38,17,17,-38,QY-038X0017
-38,18,18,-38,QY-038X0018
-38,19,19,-38,QY-038X0019
-38,20,20,-38,QY-038X0020
-38,21,21,-38,QY-038X0021
-38,22,22,-38,QY-038X0022
-38,23,23,-38,QY-038X0023
-38,24,24,-38,QY-038X0024
