step,command,major_index,device_ids,MovesMajorX,MovesMajorY,MovesMinorX,MovesMinorY
238,J,238,96-74,97475,19020,0,0
239,J,239,96-75,100260,19020,0,0
240,J,240,97-70,103045,19020,0,0
241,J,241,97-71,105830,19020,0,0
242,J,242,97-72,108615,19020,0,0
243,J,243,97-73,111400,19020,0,0
244,J,244,97-63,111400,20605,0,0
245,J,245,97-62,108615,20605,0,0
246,J,246,97-61,105830,20605,0,0
247,J,247,97-60,103045,20605,0,0
248,J,248,96-65,100260,20605,0,0
249,J,249,96-64,97475,20605,0,0
250,J,250,96-63,94690,20605,0,0
251,J,251,96-62,91905,20605,0,0
252,J,252,96-61,89120,20605,0,0
253,J,253,96-60,86335,20605,0,0
254,J,254,95-65,83550,20605,0,0
255,J,255,95-64,80765,20605,0,0
256,J,256,95-63,77980,20605,0,0
257,J,257,95-62,75195,20605,0,0
258,J,258,95-61,72410,20605,0,0
259,J,259,95-60,69625,20605,0,0
260,J,260,94-65,66840,20605,0,0
261,J,261,94-64,64055,20605,0,0
262,J,262,94-63,61270,20605,0,0
263,J,263,94-62,58485,20605,0,0
264,J,264,94-61,55700,20605,0,0
265,J,265,94-60,52915,20605,0,0
266,J,266,93-65,50130,20605,0,0
267,J,267,93-64,47345,20605,0,0
268,J,268,93-63,44560,20605,0,0
269,J,269,93-62,41775,20605,0,0
270,J,270,93-61,38990,20605,0,0
271,J,271,93-60,36205,20605,0,0
272,J,272,92-65,33420,20605,0,0
273,J,273,92-64,30635,20605,0,0
274,J,274,92-63,27850,20605,0,0
275,J,275,92-62,25065,20605,0,0
276,J,276,92-51,22280,22190,0,0
277,J,277,92-52,25065,22190,0,0
278,J,278,92-53,27850,22190,0,0
279,J,279,92-54,30635,22190,0,0
280,J,280,92-55,33420,22190,0,0
281,J,281,93-50,36205,22190,0,0
282,J,282,93-51,38990,22190,0,0
283,J,283,93-52,41775,22190,0,0
284,J,284,93-53,44560,22190,0,0
285,J,285,93-54,47345,22190,0,0
286,J,286,93-55,50130,22190,0,0
287,J,287,94-50,52915,22190,0,0
288,J,288,94-51,55700,22190,0,0
289,J,289,94-52,58485,22190,0,0
290,J,290,94-53,61270,22190,0,0
291,J,291,94-54,64055,22190,0,0
292,J,292,94-55,66840,22190,0,0
293,J,293,95-50,69625,22190,0,0
294,J,294,95-51,72410,22190,0,0
295,J,295,95-52,75195,22190,0,0
296,J,296,95-53,77980,22190,0,0
297,J,297,95-54,80765,22190,0,0
298,J,298,95-55,83550,22190,0,0
299,J,299,96-50,86335,22190,0,0
300,J,300,96-51,89120,22190,0,0
301,J,301,96-52,91905,22190,0,0
302,J,302,96-53,94690,22190,0,0
303,J,303,96-54,97475,22190,0,0
304,J,304,96-55,100260,22190,0,0
305,J,305,97-50,103045,22190,0,0
306,J,306,97-51,105830,22190,0,0
307,J,307,97-52,108615,22190,0,0
308,J,308,97-53,111400,22190,0,0
309,J,309,97-54,114185,22190,0,0
310,J,310,97-44,114185,23775,0,0
311,J,311,97-43,111400,23775,0,0
312,J,312,97-42,108615,23775,0,0
313,J,313,97-41,105830,23775,0,0
314,J,314,97-40,103045,23775,0,0
315,J,315,96-45,100260,23775,0,0
316,J,316,96-44,97475,23775,0,0
317,J,317,96-43,94690,23775,0,0
318,J,318,96-42,91905,23775,0,0
319,J,319,96-41,89120,23775,0,0
320,J,320,96-40,86335,23775,0,0
321,J,321,95-45,83550,23775,0,0
322,J,322,95-44,80765,23775,0,0
323,J,323,95-43,77980,23775,0,0
324,J,324,95-42,75195,23775,0,0
325,J,325,95-41,72410,23775,0,0
326,J,326,95-40,69625,23775,0,0
327,J,327,94-45,66840,23775,0,0
328,J,328,94-44,64055,23775,0,0
329,J,329,94-43,61270,23775,0,0
330,J,330,94-42,58485,23775,0,0
331,J,331,94-41,55700,23775,0,0
332,J,332,94-40,52915,23775,0,0
333,J,333,93-45,50130,23775,0,0
334,J,334,93-44,47345,23775,0,0
335,J,335,93-43,44560,23775,0,0
336,J,336,93-42,41775,23775,0,0
337,J,337,93-41,38990,23775,0,0
338,J,338,93-40,36205,23775,0,0
339,J,339,92-45,33420,23775,0,0
340,J,340,92-44,30635,23775,0,0
341,J,341,92-43,27850,23775,0,0
342,J,342,92-42,25065,23775,0,0
343,J,343,92-41,22280,23775,0,0
344,J,344,92-30,19495,25360,0,0
345,J,345,92-31,22280,25360,0,0
346,J,346,92-32,25065,25360,0,0
347,J,347,92-33,27850,25360,0,0
348,J,348,92-34,30635,25360,0,0
349,J,349,92-35,33420,25360,0,0
