step,command,major_index,device_ids,MovesMajorX,MovesMajorY,MovesMinorX,MovesMinorY
77,J,77,08H,71456,53858,0,0
78,J,78,08I,81664,53858,0,0
79,J,79,08J,91872,53858,0,0
80,J,80,08K,102080,53858,0,0
81,J,81,08L,112288,53858,0,0
82,J,82,08M,122496,53858,0,0
83,J,83,08N,132704,53858,0,0
84,J,84,08O,142912,53858,0,0
85,J,85,09O,142912,61552,0,0
86,J,86,09N,132704,61552,0,0
87,J,87,09M,122496,61552,0,0
88,J,88,09L,112288,61552,0,0
89,J,89,09K,102080,61552,0,0
90,J,90,09J,91872,61552,0,0
91,J,91,09I,81664,61552,0,0
92,J,92,09H,71456,61552,0,0
93,J,93,09G,61248,61552,0,0
94,J,94,09F,51040,61552,0,0
95,J,95,09E,40832,61552,0,0
96,J,96,09D,30624,61552,0,0
97,J,97,09C,20416,61552,0,0
98,J,98,09B,10208,61552,0,0
99,J,99,10B,10208,69246,0,0
100,J,100,10C,20416,69246,0,0
101,J,101,10D,30624,69246,0,0
102,J,102,10E,40832,69246,0,0
103,J,103,10F,51040,69246,0,0
104,J,104,10G,61248,69246,0,0
105,J,105,10H,71456,69246,0,0
106,J,106,10I,81664,69246,0,0
107,J,107,10J,91872,69246,0,0
108,J,108,10K,102080,69246,0,0
109,J,109,10L,112288,69246,0,0
110,J,110,10M,122496,69246,0,0
111,J,111,10N,132704,69246,0,0
112,J,112,10O,142912,69246,0,0
113,J,113,11O,142912,76940,0,0
114,J,114,11N,132704,76940,0,0
115,J,115,11M,122496,76940,0,0
116,J,116,11L,112288,76940,0,0
117,J,117,11K,102080,76940,0,0
118,J,118,11J,91872,76940,0,0
119,J,119,11I,81664,76940,0,0
120,J,120,11H,71456,76940,0,0
121,J,121,11G,61248,76940,0,0
122,J,122,11F,51040,76940,0,0
123,J,123,11E,40832,76940,0,0
124,J,124,11D,30624,76940,0,0
125,J,125,11C,20416,76940,0,0
126,J,126,11B,10208,76940,0,0
127,J,127,12B,10208,84634,0,0
128,J,128,12C,20416,84634,0,0
129,J,129,12D,30624,84634,0,0
130,J,130,12E,40832,84634,0,0
131,J,131,12F,51040,84634,0,0
132,J,132,12G,61248,84634,0,0
133,J,133,12H,71456,84634,0,0
134,J,134,12I,81664,84634,0,0
135,J,135,12J,91872,84634,0,0
136,J,136,12K,102080,84634,0,0
137,J,137,12L,112288,84634,0,0
138,J,138,12M,122496,84634,0,0
139,J,139,12N,132704,84634,0,0
140,J,140,12O,142912,84634,0,0
141,J,141,13O,142912,92328,0,0
142,J,142,13N,132704,92328,0,0
143,J,143,13M,122496,92328,0,0
144,J,144,13L,112288,92328,0,0
145,J,145,13K,102080,92328,0,0
146,J,146,13J,91872,92328,0,0
147,J,147,13I,81664,92328,0,0
148,J,148,13H,71456,92328,0,0
149,J,149,13G,61248,92328,0,0
150,J,150,13F,51040,92328,0,0
151,J,151,13E,40832,92328,0,0
152,J,152,13D,30624,92328,0,0
153,J,153,13C,20416,92328,0,0
154,J,154,13B,10208,92328,0,0
155,J,155,14B,10208,100022,0,0
156,J,156,14C,20416,100022,0,0
157,J,157,14D,30624,100022,0,0
158,J,158,14E,40832,100022,0,0
159,J,159,14F,51040,100022,0,0
160,J,160,14G,61248,100022,0,0
161,J,161,14H,71456,100022,0,0
162,J,162,14I,81664,100022,0,0
163,J,163,14J,91872,100022,0,0
164,J,164,14K,102080,100022,0,0
165,J,165,14L,112288,100022,0,0
166,J,166,14M,122496,100022,0,0
167,J,167,14N,132704,100022,0,0
168,J,168,14O,142912,100022,0,0
169,J,169,15O,142912,107716,0,0
170,J,170,15N,132704,107716,0,0
171,J,171,15M,122496,107716,0,0
172,J,172,15L,112288,107716,0,0
173,J,173,15K,102080,107716,0,0
174,J,174,15J,91872,107716,0,0
175,J,175,15I,81664,107716,0,0
176,J,176,15H,71456,107716,0,0
177,J,177,15G,61248,107716,0,0
178,J,178,15F,51040,107716,0,0
179,J,179,15E,40832,107716,0,0
180,J,180,15D,30624,107716,0,0
181,J,181,15C,20416,107716,0,0
182,J,182,15B,10208,107716,0,0
183,J,183,16B,10208,115410,0,0
184,J,184,16C,20416,115410,0,0
185,J,185,16D,30624,115410,0,0
186,J,186,16E,40832,115410,0,0
187,J,187,16F,51040,115410,0,0
188,J,188,16G,61248,115410,0,0
189,J,189,16H,71456,115410,0,0
190,J,190,16I,81664,115410,0,0
191,J,191,16J,91872,115410,0,0
192,J,192,16K,102080,115410,0,0
193,J,193,16L,112288,115410,0,0
194,J,194,16M,122496,115410,0,0
195,J,195,16N,132704,115410,0,0
196,J,196,16O,142912,115410,0,0
197,J,197,17O,142912,123104,0,0
198,J,198,17N,132704,123104,0,0
199,J,199,17M,122496,123104,0,0
200,J,200,17L,112288,123104,0,0
201,J,201,17K,102080,123104,0,0
202,J,202,17J,91872,123104,0,0
203,J,203,17I,81664,123104,0,0
204,J,204,17H,71456,123104,0,0
205,J,205,17G,61248,123104,0,0
206,J,206,17F,51040,123104,0,0
207,J,207,17E,40832,123104,0,0
208,J,208,17D,30624,123104,0,0
209,J,209,17C,20416,123104,0,0
210,J,210,17B,10208,123104,0,0
211,J,211,18B,10208,130798,0,0
212,J,212,18C,20416,130798,0,0
213,J,213,18D,30624,130798,0,0
214,J,214,18E,40832,130798,0,0
215,J,215,18F,51040,130798,0,0
216,J,216,18G,61248,130798,0,0
217,J,217,18H,71456,130798,0,0
218,J,218,18I,81664,130798,0,0
219,J,219,18J,91872,130798,0,0
220,J,220,18K,102080,130798,0,0
221,J,221,18L,112288,130798,0,0
222,J,222,18M,122496,130798,0,0
223,J,223,18N,132704,130798,0,0
224,J,224,18O,142912,130798,0,0
225,J,225,19N,132704,138492,0,0
226,J,226,19M,122496,138492,0,0
227,J,227,19L,112288,138492,0,0
228,J,228,19K,102080,138492,0,0
229,J,229,19J,91872,138492,0,0
230,J,230,19I,81664,138492,0,0
231,J,231,19H,71456,138492,0,0
232,J,232,19G,61248,138492,0,0
233,J,233,19F,51040,138492,0,0
234,J,234,19E,40832,138492,0,0
235,J,235,19D,30624,138492,0,0
236,J,236,19C,20416,138492,0,0
237,J,237,20C,20416,146186,0,0
238,J,238,20D,30624,146186,0,0
239,J,239,20E,40832,146186,0,0
240,J,240,20F,51040,146186,0,0
241,J,241,20G,61248,146186,0,0
242,J,242,20H,71456,146186,0,0
243,J,243,20I,81664,146186,0,0
244,J,244,20J,91872,146186,0,0
245,J,245,20K,102080,146186,0,0
246,J,246,20L,112288,146186,0,0
247,J,247,20M,122496,146186,0,0
248,J,248,20N,132704,146186,0,0
249,J,249,21M,122496,153880,0,0
250,J,250,21L,112288,153880,0,0
251,J,251,21K,102080,153880,0,0
252,J,252,21J,91872,153880,0,0
253,J,253,21I,81664,153880,0,0
254,J,254,21H,71456,153880,0,0
255,J,255,21G,61248,153880,0,0
256,J,256,21F,51040,153880,0,0
257,J,257,21E,40832,153880,0,0
258,J,258,21D,30624,153880,0,0
259,J,259,22E,40832,161574,0,0
260,J,260,22F,51040,161574,0,0
261,J,261,22G,61248,161574,0,0
262,J,262,22H,71456,161574,0,0
263,J,263,22I,81664,161574,0,0
264,J,264,22J,91872,161574,0,0
265,J,265,22K,102080,161574,0,0
266,J,266,22L,112288,161574,0,0
