kind,recipe,pin,pad,net,seq,bench,minor_moves,shortcut,fast_current_settle,manual_mode,align_die,wafer_map,shot_origin_x,shot_origin_y,name,type,mode,instrument,chan,target,hi,lo,level,limit,shape,freq,conn,min,max,avg_count,avg_delay,nplc,his,los,settle_delay,abs_value,mrange,die,route,instrument_key,terminals
SITE,FULL,,,,19,,,,,,,,,,19,,,,,,-4,2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,20,,,,,,,,,,20,,,,,,-4,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,21,,,,,,,,,,21,,,,,,-4,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,22,,,,,,,,,,22,,,,,,-4,5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,23,,,,,,,,,,23,,,,,,-3,-5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,24,,,,,,,,,,24,,,,,,-3,-4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,25,,,,,,,,,,25,,,,,,-3,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,26,,,,,,,,,,26,,,,,,-3,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,27,,,,,,,,,,27,,,,,,-3,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,28,,,,,,,,,,28,,,,,,-3,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,29,,,,,,,,,,29,,,,,,-3,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,30,,,,,,,,,,30,,,,,,-3,2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,31,,,,,,,,,,31,,,,,,-3,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,32,,,,,,,,,,32,,,,,,-3,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,33,,,,,,,,,,33,,,,,,-3,5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,34,,,,,,,,,,34,,,,,,-3,6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,35,,,,,,,,,,35,,,,,,-2,-5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,36,,,,,,,,,,36,,,,,,-2,-4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,37,,,,,,,,,,37,,,,,,-2,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,38,,,,,,,,,,38,,,,,,-2,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,39,,,,,,,,,,39,,,,,,-2,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,40,,,,,,,,,,40,,,,,,-2,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,41,,,,,,,,,,41,,,,,,-2,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,42,,,,,,,,,,42,,,,,,-2,2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,43,,,,,,,,,,43,,,,,,-2,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,44,,,,,,,,,,44,,,,,,-2,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,45,,,,,,,,,,45,,,,,,-2,5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,46,,,,,,,,,,46,,,,,,-2,6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,47,,,,,,,,,,47,,,,,,-1,-6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,48,,,,,,,,,,48,,,,,,-1,-5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,49,,,,,,,,,,49,,,,,,-1,-4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,50,,,,,,,,,,50,,,,,,-1,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,51,,,,,,,,,,51,,,,,,-1,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,52,,,,,,,,,,52,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,53,,,,,,,,,,53,,,,,,-1,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,54,,,,,,,,,,54,,,,,,-1,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,55,,,,,,,,,,55,,,,,,-1,2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,56,,,,,,,,,,56,,,,,,-1,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,57,,,,,,,,,,57,,,,,,-1,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,58,,,,,,,,,,58,,,,,,-1,5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,59,,,,,,,,,,59,,,,,,-1,6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,60,,,,,,,,,,60,,,,,,-1,7,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,61,,,,,,,,,,61,,,,,,0,-6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,62,,,,,,,,,,62,,,,,,0,-5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,63,,,,,,,,,,63,,,,,,0,-4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,64,,,,,,,,,,64,,,,,,0,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,65,,,,,,,,,,65,,,,,,0,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,66,,,,,,,,,,66,,,,,,0,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,67,,,,,,,,,,67,,,,,,0,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,68,,,,,,,,,,68,,,,,,0,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,69,,,,,,,,,,69,,,,,,0,2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,70,,,,,,,,,,70,,,,,,0,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,71,,,,,,,,,,71,,,,,,0,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,72,,,,,,,,,,72,,,,,,0,5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,73,,,,,,,,,,73,,,,,,0,6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,74,,,,,,,,,,74,,,,,,0,7,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,75,,,,,,,,,,75,,,,,,1,-6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,76,,,,,,,,,,76,,,,,,1,-5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,77,,,,,,,,,,77,,,,,,1,-4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,78,,,,,,,,,,78,,,,,,1,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,79,,,,,,,,,,79,,,,,,1,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,80,,,,,,,,,,80,,,,,,1,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,81,,,,,,,,,,81,,,,,,1,0,,,,,,,,,,,,,,,,,,,
